block,trial_number,auditory_stimulus,left_image,right_image,center_image,target_label,target_side,correct_response,playing_side,background,trial_type
1,0,meetNewFriends,BlackBoy2,WhiteBoy2,circleBlack,none,center,1,,black-background,FAM
1,1,E_hiTevi,BlackBoy2Outline,WhiteBoy2Gray,circleBlack,Outgroup,left,0,,black-background,intro
1,2,K_hiKito,BlackBoy2Gray,WhiteBoy2Outline,circleBlack,Ingroup,right,2,,black-background,intro
1,3,E_it.that_apple,BlackBoy2Outline,WhiteBoy2Gray,ApplecircleBlack,apple_Outgroup,left,0,,black-background,FAM
1,4,K_it.see_apple,BlackBoy2Gray,WhiteBoy2Outline,ApplecircleBlack,apple_Ingroup,right,2,,black-background,FAM
1,5,K_that.it_truck,BlackBoy2Gray,WhiteBoy2Outline,TruckcircleBlack,truck_Ingroup,right,2,,black-background,FAM
1,6,E_that.it_truck,BlackBoy2Outline,WhiteBoy2Gray,TruckcircleBlack,truck_Outgroup,left,0,,black-background,FAM
1,7,E_see.it_ball,BlackBoy2Outline,WhiteBoy2Gray,BallcircleBlack,ball_Outgroup,left,0,,black-background,FAM
1,8,K_that.it_ball,BlackBoy2Gray,WhiteBoy2Outline,BallcircleBlack,ball_Ingroup,right,2,,black-background,FAM
1,9,E_that.see_shoe,BlackBoy2Outline,WhiteBoy2Gray,ShoecircleBlack,shoe_Outgroup,left,0,,black-background,FAM
1,10,K_see.that_shoe,BlackBoy2Gray,WhiteBoy2Outline,ShoecircleBlack,shoe_Ingroup,right,2,,black-background,FAM
2,11,find_truck500,truckSquare,ballSquare,Black,truck,left,0,,black-background,FAM_LWL
2,12,where_apple500,appleSquare,shoeSquare,Black,apple,left,0,,black-background,FAM_LWL
2,13,find_ball500,truckSquare,ballSquare,Black,ball,right,2,,black-background,FAM_LWL
2,14,where_shoe500,shoeSquare,appleSquare,Black,shoe,left,0,,black-background,FAM_LWL
2,15,greatJob,LbeachBlack,RbeachBlack,Black,AG,center,1,,black-background,filler
3,16,E_that.see_glark,BlackBoy2Outline,WhiteBoy2Gray,nov1S2Circle,glark_Outgroup,left,0,,black-background,Teaching
3,17,K_see.it_bem,BlackBoy2Gray,WhiteBoy2Outline,nov1S2Circle,bem_Ingroup,right,2,,black-background,Teaching
3,18,K_that.it_virdex,BlackBoy2Gray,WhiteBoy2Outline,nov2S2Circle,virdex_Ingroup,right,2,,black-background,Teaching
3,19,E_see.that_tanzer,BlackBoy2Outline,WhiteBoy2Gray,nov2S2Circle,tanzer_Outgroup,left,0,,black-background,Teaching
3,20,E_it.that_krat,BlackBoy2Outline,WhiteBoy2Gray,nov3S2Circle,krat_Outgroup,left,0,,black-background,Teaching
3,21,K_see.it_juff,BlackBoy2Gray,WhiteBoy2Outline,nov3S2Circle,juff_Ingroup,right,2,,black-background,Teaching
3,22,E_it.that_fiffen,BlackBoy2Outline,WhiteBoy2Gray,nov4S2Circle,fiffen_Outgroup,left,0,,black-background,Teaching
3,23,K_it.that_coodle,BlackBoy2Gray,WhiteBoy2Outline,nov4S2Circle,coodle_Ingroup,right,2,,black-background,Teaching
3,24,K_that.it_virdex,BlackBoy2Gray,WhiteBoy2Outline,nov2S2Circle,virdex_Ingroup,right,2,,black-background,Teaching
3,25,E_it.see_tanzer,BlackBoy2Outline,WhiteBoy2Gray,nov2S2Circle,tanzer_Outgroup,left,0,,black-background,Teaching
3,26,E_that.see_fiffen,BlackBoy2Outline,WhiteBoy2Gray,nov4S2Circle,fiffen_Outgroup,left,0,,black-background,Teaching
3,27,K_it.that_coodle,BlackBoy2Gray,WhiteBoy2Outline,nov4S2Circle,coodle_Ingroup,right,2,,black-background,Teaching
3,28,K_see.it_bem,BlackBoy2Gray,WhiteBoy2Outline,nov1S2Circle,bem_Ingroup,right,2,,black-background,Teaching
3,29,E_see.that_glark,BlackBoy2Outline,WhiteBoy2Gray,nov1S2Circle,glark_Outgroup,left,0,,black-background,Teaching
3,30,E_it.see_krat,BlackBoy2Outline,WhiteBoy2Gray,nov3S2Circle,krat_Outgroup,left,0,,black-background,Teaching
3,31,K_see.it_juff,BlackBoy2Gray,WhiteBoy2Outline,nov3S2Circle,juff_Ingroup,right,2,,black-background,Teaching
4,32,where_krat500,nov1S2Square,nov3S2Square,Black,krat_Outgroup,right,2,,black-background,ImmTest
4,33,find_tanzer500,nov2S2Square,nov4S2Square,Black,tanzer_Outgroup,left,0,,black-background,ImmTest
4,34,where_fiffen500,nov4S2Square,nov1S2Square,Black,virdex_Ingroup,left,0,,black-background,ImmTest
4,35,where_virdex500,nov3S2Square,nov2S2Square,Black,virdex_Ingroup,right,2,,black-background,ImmTest
4,36,where_bem500,nov1S2Square,nov3S2Square,Black,bem_Ingroup,left,0,,black-background,ImmTest
4,37,find_coodle500,nov2S2Square,nov4S2Square,Black,coodle_Ingroup,right,2,,black-background,ImmTest
4,38,find_glark500,nov4S2Square,nov1S2Square,Black,glark_Outgroup,right,2,,black-background,ImmTest
4,39,find_juff500,nov3S2Square,nov2S2Square,Black,juff_Ingroup,left,0,,black-background,ImmTest
4,40,greatListening,LbeachBlack,RbeachBlack,Black,AG,center,1,,black-background,filler
5,41,E_see.that_osip,BlackBoy2Outline,WhiteBoy2Gray,nov5S2Circle,osip_Outgroup,left,0,,black-background,Teaching
5,42,K_that.see_modi,BlackBoy2Gray,WhiteBoy2Outline,nov5S2Circle,modi_Ingroup,right,2,,black-background,Teaching
5,43,K_see.that_hux,BlackBoy2Gray,WhiteBoy2Outline,nov6S2Circle,hux_Ingroup,right,2,,black-background,Teaching
5,44,E_that.it_zeb,BlackBoy2Outline,WhiteBoy2Gray,nov6S2Circle,zeb_Outgroup,left,0,,black-background,Teaching
5,45,E_it.see_roke,BlackBoy2Outline,WhiteBoy2Gray,nov7S2Circle,roke_Outgroup,left,0,,black-background,Teaching
5,46,K_it.see_erag,BlackBoy2Gray,WhiteBoy2Outline,nov7S2Circle,erag_Ingroup,right,2,,black-background,Teaching
5,47,K_it.see_leem,BlackBoy2Gray,WhiteBoy2Outline,nov8S2Circle,pisk_Ingroup,right,2,,black-background,Teaching
5,48,E_see.that_wilp,BlackBoy2Outline,WhiteBoy2Gray,nov8S2Circle,wilp_Outgroup,left,0,,black-background,Teaching
5,49,K_that.see_modi,BlackBoy2Gray,WhiteBoy2Outline,nov5S2Circle,modi_Ingroup,right,2,,black-background,Teaching
5,50,E_it.see_osip,BlackBoy2Outline,WhiteBoy2Gray,nov5S2Circle,osip_Outgroup,left,0,,black-background,Teaching
5,51,E_that.see_roke,BlackBoy2Outline,WhiteBoy2Gray,nov7S2Circle,roke_Outgroup,left,0,,black-background,Teaching
5,52,K_it.see_erag,BlackBoy2Gray,WhiteBoy2Outline,nov7S2Circle,erag_Ingroup,right,2,,black-background,Teaching
5,53,E_see.that_wilp,BlackBoy2Outline,WhiteBoy2Gray,nov8S2Circle,wilp_Outgroup,left,0,,black-background,Teaching
5,54,K_it.see_leem,BlackBoy2Gray,WhiteBoy2Outline,nov8S2Circle,pisk_Ingroup,right,2,,black-background,Teaching
5,55,E_it.that_zeb,BlackBoy2Outline,WhiteBoy2Gray,nov6S2Circle,zeb_Outgroup,left,0,,black-background,Teaching
5,56,K_see.that_hux,BlackBoy2Gray,WhiteBoy2Outline,nov6S2Circle,hux_Ingroup,right,2,,black-background,Teaching
6,41,find_osip500,nov5S2Square,nov7S2Square,Black,osip_Outgroup,left,0,,black-background,ImmTest
6,42,find_wilp500,nov6S2Square,nov8S2Square,Black,wilp_Outgroup,right,2,,black-background,ImmTest
6,43,where_modi500,nov8S2Square,nov5S2Square,Black,modi_Ingroup,right,2,,black-background,ImmTest
