block,trial_number,auditory_stimulus,left_image,right_image,center_image,target_label,target_side,correct_response,playing_side,background,trial_type
1,0,meetNewFriends,WhiteGirl,WhiteBoy,circleBlack,none,center,1,,black-background,FAM
1,1,E_hiDoa,WhiteGirlOutline,WhiteBoyGray,circleBlack,Ingroup,left,0,,black-background,intro
1,2,K_hiRaylor,WhiteGirlGray,WhiteBoyOutline,circleBlack,Outgroup,right,2,,black-background,intro
1,3,E_it.that_apple,WhiteGirlOutline,WhiteBoyGray,ApplecircleBlack,apple_Ingroup,left,0,,black-background,FAM
1,4,K_it.see_apple,WhiteGirlGray,WhiteBoyOutline,ApplecircleBlack,apple_Outgroup,right,2,,black-background,FAM
1,5,K_that.it_truck,WhiteGirlGray,WhiteBoyOutline,TruckcircleBlack,truck_Outgroup,right,2,,black-background,FAM
1,6,E_that.it_truck,WhiteGirlOutline,WhiteBoyGray,TruckcircleBlack,truck_Ingroup,left,0,,black-background,FAM
1,7,E_see.it_ball,WhiteGirlOutline,WhiteBoyGray,BallcircleBlack,ball_Ingroup,left,0,,black-background,FAM
1,8,K_that.it_ball,WhiteGirlGray,WhiteBoyOutline,BallcircleBlack,ball_Outgroup,right,2,,black-background,FAM
1,9,E_that.see_shoe,WhiteGirlOutline,WhiteBoyGray,ShoecircleBlack,shoe_Ingroup,left,0,,black-background,FAM
1,10,K_see.that_shoe,WhiteGirlGray,WhiteBoyOutline,ShoecircleBlack,shoe_Outgroup,right,2,,black-background,FAM
2,11,find_truck500,truckSquare,ballSquare,Black,truck,left,0,,black-background,FAM_LWL
2,12,where_apple500,appleSquare,shoeSquare,Black,apple,left,0,,black-background,FAM_LWL
2,13,find_ball500,truckSquare,ballSquare,Black,ball,right,2,,black-background,FAM_LWL
2,14,where_shoe500,shoeSquare,appleSquare,Black,shoe,left,0,,black-background,FAM_LWL
2,15,greatJob,LbeachBlack,RbeachBlack,Black,AG,center,1,,black-background,filler
3,16,E_that.see_koba,WhiteGirlOutline,WhiteBoyGray,nov1S1Circle,koba_Ingroup,left,0,,black-background,Teaching
3,17,K_see.it_blicket,WhiteGirlGray,WhiteBoyOutline,nov1S1Circle,blicket_Outgroup,right,2,,black-background,Teaching
3,18,K_that.it_cheem,WhiteGirlGray,WhiteBoyOutline,nov2S1Circle,cheem_Outgroup,right,2,,black-background,Teaching
3,19,E_see.that_fisp,WhiteGirlOutline,WhiteBoyGray,nov2S1Circle,fisp_Ingroup,left,0,,black-background,Teaching
3,20,E_it.that_manu,WhiteGirlOutline,WhiteBoyGray,nov3S1Circle,manu_Ingroup,left,0,,black-background,Teaching
3,21,K_see.it_regli,WhiteGirlGray,WhiteBoyOutline,nov3S1Circle,regli_Outgroup,right,2,,black-background,Teaching
3,22,E_it.that_pank,WhiteGirlOutline,WhiteBoyGray,nov4S1Circle,pank_Ingroup,left,0,,black-background,Teaching
3,23,K_it.that_smope,WhiteGirlGray,WhiteBoyOutline,nov4S1Circle,smope_Outgroup,right,2,,black-background,Teaching
3,24,K_that.it_cheem,WhiteGirlGray,WhiteBoyOutline,nov2S1Circle,cheem_Outgroup,right,2,,black-background,Teaching
3,25,E_it.see_fisp,WhiteGirlOutline,WhiteBoyGray,nov2S1Circle,fisp_Ingroup,left,0,,black-background,Teaching
3,26,E_that.see_pank,WhiteGirlOutline,WhiteBoyGray,nov4S1Circle,pank_Ingroup,left,0,,black-background,Teaching
3,27,K_it.that_smope,WhiteGirlGray,WhiteBoyOutline,nov4S1Circle,smope_Outgroup,right,2,,black-background,Teaching
3,28,K_see.it_blicket,WhiteGirlGray,WhiteBoyOutline,nov1S1Circle,blicket_Outgroup,right,2,,black-background,Teaching
3,29,E_that.see_koba,WhiteGirlOutline,WhiteBoyGray,nov1S1Circle,koba_Ingroup,left,0,,black-background,Teaching
3,30,E_it.see_manu,WhiteGirlOutline,WhiteBoyGray,nov3S1Circle,manu_Ingroup,left,0,,black-background,Teaching
3,31,K_see.it_regli,WhiteGirlGray,WhiteBoyOutline,nov3S1Circle,regli_Outgroup,right,2,,black-background,Teaching
4,32,where_manu500,nov1S1Square,nov3S1Square,Black,manu,right,2,,black-background,ImmTest
4,33,where_fisp500,nov2S1Square,nov4S1Square,Black,fisp,left,0,,black-background,ImmTest
4,34,find_pank500,nov4S1Square,nov1S1Square,Black,pank,left,0,,black-background,ImmTest
4,35,find_cheem500,nov3S1Square,nov2S1Square,Black,cheem,right,2,,black-background,ImmTest
4,36,where_blicket500,nov1S1Square,nov3S1Square,Black,blicket,left,0,,black-background,ImmTest
4,37,where_smope500,nov2S1Square,nov4S1Square,Black,smope,right,2,,black-background,ImmTest
4,38,find_koba500,nov4S1Square,nov1S1Square,Black,koba,right,2,,black-background,ImmTest
4,39,find_regli500,nov3S1Square,nov2S1Square,Black,regli,left,0,,black-background,ImmTest
4,40,greatListening,LbeachBlack,RbeachBlack,Black,AG,center,1,,black-background,filler
5,41,E_see.that_zorch,WhiteGirlOutline,WhiteBoyGray,nov5S1Circle,zorch_Ingroup,left,0,,black-background,Teaching
5,42,K_that.see_jick,WhiteGirlGray,WhiteBoyOutline,nov5S1Circle,jick_Outgroup,right,2,,black-background,Teaching
5,43,K_see.that_teebu,WhiteGirlGray,WhiteBoyOutline,nov6S1Circle,teebu_Outgroup,right,2,,black-background,Teaching
5,44,E_that.it_wiso,WhiteGirlOutline,WhiteBoyGray,nov6S1Circle,wiso_Ingroup,left,0,,black-background,Teaching
5,45,E_that.see_vab,WhiteGirlOutline,WhiteBoyGray,nov7S1Circle,vab_Ingroup,left,0,,black-background,Teaching
5,46,K_it.see_akar,WhiteGirlGray,WhiteBoyOutline,nov7S1Circle,akar_Outgroup,right,2,,black-background,Teaching
5,47,K_it.see_leam,WhiteGirlGray,WhiteBoyOutline,nov8S1Circle,leam_Outgroup,right,2,,black-background,Teaching
5,48,E_see.that_doff,WhiteGirlOutline,WhiteBoyGray,nov8S1Circle,doff_Ingroup,left,0,,black-background,Teaching
5,49,K_that.see_jick,WhiteGirlGray,WhiteBoyOutline,nov5S1Circle,jick_Outgroup,right,2,,black-background,Teaching
5,50,E_it.see_zorch,WhiteGirlOutline,WhiteBoyGray,nov5S1Circle,zorch_Ingroup,left,0,,black-background,Teaching
5,51,E_that.see_vab,WhiteGirlOutline,WhiteBoyGray,nov7S1Circle,vab_Ingroup,left,0,,black-background,Teaching
5,52,K_it.see_akar,WhiteGirlGray,WhiteBoyOutline,nov7S1Circle,akar_Outgroup,right,2,,black-background,Teaching
5,53,E_see.that_doff,WhiteGirlOutline,WhiteBoyGray,nov8S1Circle,doff_Ingroup,left,0,,black-background,Teaching
5,54,K_it.see_leam,WhiteGirlGray,WhiteBoyOutline,nov8S1Circle,leam_Outgroup,right,2,,black-background,Teaching
5,55,E_it.that_wiso,WhiteGirlOutline,WhiteBoyGray,nov6S1Circle,wiso_Ingroup,left,0,,black-background,Teaching
5,56,K_see.that_teebu,WhiteGirlGray,WhiteBoyOutline,nov6S1Circle,teebu_Outgroup,right,2,,black-background,Teaching
6,41,where_zorch500,nov5S1Square,nov7S1Square,Black,zorch,left,0,,black-background,ImmTest
6,42,find_doff500,nov6S1Square,nov8S1Square,Black,doff,right,2,,black-background,ImmTest
6,43,find_jick500,nov8S1Square,nov5S1Square,Black,jick,right,2,,black-background,ImmTest
6,44,where_vab500,nov7S1Square,nov6S1Square,Black,vab,left,0,,black-background,ImmTest
6,45,where_akar500,nov5S1Square,nov7S1Square,Black,akar,right,2,,black-background,ImmTest
6,46,where_teebu500,nov6S1Square,nov8S1Square,Black,teebu,left,0,,black-background,ImmTest
6,47,find_leam500,nov8S1Square,nov5S1Square,Black,leam,left,0,,black-background,ImmTest
6,48,find_wiso500,nov7S1Square,nov6S1Square,Black,wiso,right,2,,black-background,ImmTest
6,49,takeBreak,LoceanBlack,RoceanBlack,Black,AG,center,1,,black-background,filler
